EngDispl,NumCyl,FE,NumGears,TransLockup,TransCreeperGear,IntakeValvePerCyl,ExhaustValvesPerCyl,VarValveTiming,VarValveLift,id,predict
5.9,12,22.9258,6,0,0,2,2,0,0,1,23.892000000000003
4.2,8,26.7678,6,0,0,2,2,1,0,2,31.576000000000004
4.2,8,24.301,6,0,0,2,2,1,0,3,31.576000000000004
5.2,10,24.3325,6,0,0,2,2,1,0,4,27.056000000000004
5.2,10,23.0667,6,0,0,2,2,1,0,5,27.056000000000004
3,6,32.8579,7,1,0,2,2,1,0,6,37
1.5,4,52.2,6,0,0,2,2,1,1,7,43.78
1.5,4,55.6446,1,1,0,2,2,1,1,8,43.78
6.3,8,26,7,1,0,2,2,1,0,9,22.084000000000007
6,12,25,5,1,0,2,1,1,0,10,23.440000000000005
6.2,8,26.8,7,0,0,2,2,1,0,11,22.536000000000005
3.6,6,32.2993,6,0,0,2,2,1,1,12,34.288000000000004
3.8,6,36.7669,7,1,0,2,2,1,1,13,33.384
3.4,6,41.347,7,1,0,2,2,1,1,14,35.19200000000001
3.4,6,37.055,6,0,0,2,2,1,1,15,35.19200000000001
5,8,30.8503,6,1,0,2,2,1,1,16,27.960000000000004
3.8,6,36.7669,7,1,0,2,2,1,1,17,33.384
3.8,6,34.8617,6,0,0,2,2,1,1,18,33.384
3.8,6,37.0666,7,1,0,2,2,1,1,19,33.384
3.8,6,36.0277,6,0,0,2,2,1,1,20,33.384
6,12,24.7,6,0,0,2,2,1,0,21,23.440000000000005
3,6,36.4738,6,0,0,2,2,1,0,22,37
3,6,32.8579,7,1,0,2,2,1,0,23,37
3,6,36.4738,6,0,0,2,2,1,0,24,37
3,6,32.8579,7,1,0,2,2,1,0,25,37
1.6,4,54.2501,6,1,1,2,2,1,0,26,43.328
1.6,4,52.6,5,0,1,2,2,1,0,27,43.328
1.6,4,56.4204,6,1,1,2,2,1,0,28,43.328
3.7,6,41.4056,6,1,0,2,2,1,0,29,33.836
3.7,6,35.1628,7,1,0,2,2,1,1,30,33.836
3.5,6,34.7494,6,1,0,2,2,1,0,31,34.74
3.5,6,34.9,7,1,0,2,2,1,0,32,34.74
5.5,8,30.6,7,1,0,2,2,1,0,33,25.700000000000003
5.5,8,31.7,7,1,0,2,2,1,0,34,25.700000000000003
1.6,4,47.8478,6,1,0,2,2,1,1,35,43.328
1.6,4,50.2436,6,0,0,2,2,1,1,36,43.328
1.8,4,47.2,4,1,0,2,2,1,0,37,42.42400000000001
1.8,4,46.9,5,0,0,2,2,1,0,38,42.42400000000001
4,8,28.4,6,0,0,2,2,1,0,39,32.480000000000004
4,8,27.9711,7,1,0,2,2,1,0,40,32.480000000000004
1.4,4,50.4,6,1,0,2,2,1,0,41,44.232
1.4,4,54.05,6,1,0,2,2,1,0,42,44.232
1.4,4,59.7,6,0,0,2,2,1,0,43,44.232
1.4,4,52.7496,1,0,0,2,2,1,0,44,44.232
2,4,40,4,1,0,2,2,1,0,45,41.52
2,4,40.9,6,1,0,2,2,1,0,46,41.52
3.6,6,40.5,6,1,0,2,2,1,0,47,34.288000000000004
6.4,8,29.9499,5,1,0,1,1,1,0,48,21.632000000000005
6.4,8,31.4,6,1,0,1,1,1,0,49,21.632000000000005
1.8,4,56.9915,1,0,0,2,2,1,0,50,42.42400000000001
1.5,4,46.5,4,1,0,2,2,1,0,51,43.78
1.5,4,49.6,5,0,0,2,2,1,0,52,43.78
1.6,4,42,6,1,0,2,2,1,1,53,43.328
1.6,4,49.9494,6,0,0,2,2,1,1,54,43.328
1.6,4,45.3,6,1,0,2,2,1,1,55,43.328
1.6,4,45.5,6,0,0,2,2,1,1,56,43.328
1.6,4,42.8,6,1,0,2,2,1,1,57,43.328
1.6,4,43.7,6,0,0,2,2,1,1,58,43.328
2.5,4,42.904,6,0,0,2,2,1,0,59,39.260000000000005
2.5,4,43.2617,6,1,0,2,2,1,0,60,39.260000000000005
2.5,4,37.5899,5,0,0,2,2,0,1,61,39.260000000000005
2.5,4,36.6557,4,1,0,2,2,0,1,62,39.260000000000005
2.5,4,34.4341,5,0,0,2,2,1,0,63,39.260000000000005
2.5,4,31.3669,6,0,0,2,2,1,0,64,39.260000000000005
2,4,41.5661,1,1,0,2,2,1,0,65,41.52
2,4,44.708,6,0,0,2,2,1,0,66,41.52
2,4,59.5361,6,0,0,2,2,0,0,67,41.52
2,4,59.4381,6,1,0,2,2,0,0,68,41.52
2,4,46.2,5,0,0,1,1,0,0,69,41.52
2,4,41.399,6,1,0,1,1,0,0,70,41.52
2.5,5,44.5159,5,0,0,2,2,1,0,71,39.260000000000005
2.5,5,42.4888,6,1,0,2,2,1,0,72,39.260000000000005
3,6,35.8,6,1,0,2,2,1,0,73,37
6.8,8,23.4,8,0,0,1,1,1,0,74,19.824000000000005
4.4,8,33.0499,8,1,0,2,2,1,0,75,30.672000000000004
4.4,8,33.6032,8,1,0,2,2,1,0,76,30.672000000000004
2.4,4,42,6,1,0,2,2,1,0,77,39.712
3.6,6,37.4874,6,1,0,2,2,1,0,78,34.288000000000004
3.6,6,36.1,6,1,0,2,2,1,0,79,34.288000000000004
2,4,39.4,6,1,0,2,2,1,0,80,41.52
2,4,44.7,6,0,0,2,2,1,0,81,41.52
2.4,4,42.5,6,1,0,2,2,1,0,82,39.712
2,4,41.5,4,1,0,2,2,1,0,83,41.52
2,4,43.5,6,1,0,2,2,1,0,84,41.52
3.6,6,40.5,6,1,0,2,2,1,0,85,34.288000000000004
3,6,39.7,6,1,1,2,2,1,0,86,37
2.5,6,40.8075,7,1,0,2,2,1,0,87,39.260000000000005
2.5,6,37.98,7,1,0,2,2,1,0,88,39.260000000000005
3.7,6,36.7528,7,1,0,2,2,1,1,89,33.836
3.7,6,33.4,7,1,0,2,2,1,1,90,33.836
5.6,8,34.5,7,1,0,2,2,1,1,91,25.248000000000005
5.6,8,32.4,7,1,0,2,2,1,1,92,25.248000000000005
3,6,39.7,6,1,1,2,2,1,0,93,37
2.5,4,51.6,1,0,0,2,2,1,0,94,39.260000000000005
2.3,4,34.7,6,0,0,2,2,1,0,95,40.164
3,6,47.1,7,1,0,2,2,1,0,96,37
4.2,8,35.7222,8,0,0,2,2,1,0,97,31.576000000000004
3,6,37.9997,8,1,0,2,2,1,1,98,37
4.4,8,31.2274,8,1,0,2,2,1,0,99,30.672000000000004
4.4,8,30.548,8,1,0,2,2,1,0,100,30.672000000000004
3,6,35.4966,6,1,0,2,2,1,0,101,37
3,6,35.4966,6,1,0,2,2,1,0,102,37
4.4,8,33.6032,8,1,0,2,2,1,0,103,30.672000000000004
4.4,8,29.8378,6,1,0,2,2,1,0,104,30.672000000000004
4.4,8,27.7307,6,1,0,2,2,1,0,105,30.672000000000004
4.4,8,29.8378,6,1,0,2,2,1,0,106,30.672000000000004
4.4,8,27.7307,6,1,0,2,2,1,0,107,30.672000000000004
3.6,6,37.9,5,1,0,2,2,1,0,108,34.288000000000004
5.7,8,34.5,5,1,0,1,1,1,0,109,24.796000000000003
4.6,8,33.9,6,1,0,2,2,1,0,110,29.768000000000004
3.6,6,37.2998,7,1,0,2,2,1,1,111,34.288000000000004
3.6,6,36.544,7,1,0,2,2,1,1,112,34.288000000000004
3,6,36.9202,6,1,0,2,2,1,1,113,37
3,6,37.4259,6,1,0,2,2,1,1,114,37
3,6,35.4354,6,0,0,2,2,1,1,115,37
3,6,35.891,6,1,0,2,2,1,1,116,37
1.6,4,43.2979,6,0,0,2,2,1,0,117,43.328
1.6,4,45.5991,1,1,0,2,2,1,0,118,43.328
1.6,4,41.7,1,1,0,2,2,1,0,119,43.328
2.4,4,38.7,5,0,0,2,2,1,0,120,39.712
2.4,4,38.7,4,1,0,2,2,1,0,121,39.712
2.5,4,37.5899,5,0,0,2,2,0,1,122,39.260000000000005
2.5,4,36.6557,4,1,0,2,2,0,1,123,39.260000000000005
2.5,4,34.4341,5,0,0,2,2,1,0,124,39.260000000000005
2.5,4,31.3669,6,0,0,2,2,1,0,125,39.260000000000005
3.5,6,32.2,7,1,0,2,2,1,0,126,34.74
3.7,6,28.1,4,1,0,1,1,0,0,127,33.836
4.7,8,25.7,5,1,0,1,1,0,0,128,29.316000000000003
3.7,6,27.8,4,1,0,1,1,0,0,129,33.836
4.7,8,25.6,5,1,0,1,1,0,0,130,29.316000000000003
5.7,8,27.2,5,1,0,1,1,1,0,131,24.796000000000003
3.7,6,31.3641,6,1,1,2,2,1,0,132,33.836
3.7,6,31.3639,6,0,1,2,2,1,0,133,33.836
5,8,28.716,6,1,1,2,2,1,0,134,27.960000000000004
5,8,28.7009,6,0,1,2,2,1,0,135,27.960000000000004
3.7,6,24.4,4,1,0,1,1,0,0,136,33.836
4.7,8,25.6,5,0,0,1,1,0,0,137,29.316000000000003
4.7,8,24.6,5,1,0,1,1,0,0,138,29.316000000000003
5.7,8,25.6,5,1,0,1,1,1,0,139,24.796000000000003
3.7,6,28.5668,6,1,1,2,2,1,0,140,33.836
3.7,6,28.5674,6,0,1,2,2,1,0,141,33.836
5,8,25.8975,6,1,1,2,2,1,0,142,27.960000000000004
5,8,25.8972,6,0,1,2,2,1,0,143,27.960000000000004
6.2,8,19.5139,6,0,1,1,1,1,0,144,22.536000000000005
2.2,4,30.45,6,0,0,2,2,0,0,145,40.616
6,8,21.4734,6,1,0,1,1,1,0,146,23.440000000000005
6,8,21.4734,6,1,0,1,1,1,0,147,23.440000000000005
6,8,21.4734,6,1,0,1,1,1,0,148,23.440000000000005
4.6,8,23,4,1,1,1,1,0,0,149,29.768000000000004
5.4,8,21.8,4,1,1,1,1,0,0,150,26.152000000000005
4.6,8,23,4,1,1,1,1,0,0,151,29.768000000000004
5.4,8,21.6412,4,1,1,1,1,0,0,152,26.152000000000005
6.8,10,18.6,5,1,1,1,1,0,0,153,19.824000000000005
5.4,8,21.2,4,1,1,1,1,0,0,154,26.152000000000005
6,8,21.4734,6,1,0,1,1,1,0,155,23.440000000000005
6,8,21.4734,6,1,0,1,1,1,0,156,23.440000000000005
6,8,21.4734,6,1,0,1,1,1,0,157,23.440000000000005
4.8,8,22.8,6,1,0,1,1,1,0,158,28.864000000000004
6,8,21.8,6,1,0,1,1,1,0,159,23.440000000000005
6,8,21.6285,6,1,0,1,1,1,0,160,23.440000000000005
4.6,8,21.9,4,1,1,1,1,0,0,161,29.768000000000004
5.4,8,21.2,4,1,1,1,1,0,0,162,26.152000000000005
6.8,10,17.7,5,1,1,1,1,0,0,163,19.824000000000005
5.4,8,20.6,4,1,1,1,1,0,0,164,26.152000000000005
4.8,8,22.8,6,1,0,1,1,1,0,165,28.864000000000004
6,8,21.8,6,1,0,1,1,1,0,166,23.440000000000005
6,8,21.6515,6,1,0,1,1,1,0,167,23.440000000000005
3.6,6,35,6,1,0,2,2,1,0,168,34.288000000000004
3.6,6,35,6,1,0,2,2,1,0,169,34.288000000000004
2.7,4,37,6,1,0,2,2,1,0,170,38.356
3.5,6,34,6,1,0,2,2,1,0,171,34.74
3.5,6,30.0493,6,1,0,2,2,1,0,172,34.74
6,8,21.7,6,1,0,1,1,1,0,173,23.440000000000005
3.6,6,32.3,5,1,0,2,2,1,0,174,34.288000000000004
5.7,8,27.2,5,1,0,1,1,1,0,175,24.796000000000003
2,4,36.8,4,0,0,2,2,1,0,176,41.52
3.6,6,35.5,6,1,0,2,2,1,0,177,34.288000000000004
3.7,6,30.4,4,1,0,1,1,0,0,178,33.836
4,6,29.4,5,1,0,2,2,0,0,179,32.480000000000004
3.5,6,34.763,6,1,1,2,2,1,0,180,34.74
3.5,6,34.7675,6,1,1,2,2,1,0,181,34.74
6,8,32.8,1,0,0,1,1,1,0,182,23.440000000000005
6,8,21.7,6,1,0,1,1,1,0,183,23.440000000000005
2.4,4,40.3,6,1,0,2,2,1,0,184,39.712
2.4,4,37.3,6,0,0,2,2,1,0,185,39.712
3.5,6,35.8,6,1,0,2,2,1,0,186,34.74
5.4,8,24.1556,6,1,1,2,1,1,0,187,26.152000000000005
2,4,43.2,5,0,0,2,2,1,0,188,41.52
2,4,42.9733,1,0,0,2,2,1,0,189,41.52
3.2,6,34.5424,6,1,0,2,2,1,0,190,36.096000000000004
3.2,6,34.5424,6,1,0,2,2,1,0,191,36.096000000000004
3,6,35.5052,8,1,0,2,2,1,1,192,37
3,6,35.9931,8,1,0,2,2,1,1,193,37
3,6,32.286,8,1,0,2,2,1,1,194,37
4.4,8,28.1647,8,1,0,2,2,1,0,195,30.672000000000004
6,8,32.4,1,0,0,1,1,1,0,196,23.440000000000005
6.2,8,24.2,6,1,0,1,1,1,0,197,22.536000000000005
6.2,8,24.2,6,1,0,1,1,1,0,198,22.536000000000005
5.3,8,29,6,1,0,1,1,1,0,199,26.604000000000006
5.3,8,29,6,1,0,1,1,1,0,200,26.604000000000006
6,8,21.2,6,1,0,1,1,1,0,201,23.440000000000005
3.6,6,31.2,5,1,0,2,2,1,0,202,34.288000000000004
5.7,8,27.2941,5,1,0,1,1,1,0,203,24.796000000000003
3.6,6,32.9,6,1,0,2,2,1,0,204,34.288000000000004
3.7,6,28.5,4,1,0,1,1,0,0,205,33.836
4,6,28.5,5,1,0,2,2,0,0,206,32.480000000000004
6,8,32.4,1,0,0,1,1,1,0,207,23.440000000000005
5.3,8,29,6,1,0,1,1,1,0,208,26.604000000000006
6.2,8,24.2,6,1,0,1,1,1,0,209,22.536000000000005
6,8,21.2,6,1,0,1,1,1,0,210,23.440000000000005
5,8,27.4375,7,1,0,2,2,1,1,211,27.960000000000004
2.4,4,37.4,6,1,0,2,2,1,0,212,39.712
3.5,6,34.9,6,1,0,2,2,1,0,213,34.74
5,8,24.7928,6,1,0,2,2,1,1,214,27.960000000000004
5,8,23.6028,6,1,0,2,2,1,0,215,27.960000000000004
3,6,31.5,7,1,0,2,2,1,0,216,37
3,6,34.4,7,1,0,2,2,1,0,217,37
3,6,33.3,7,1,0,2,2,1,0,218,37
2,4,41.2,1,0,0,2,2,1,0,219,41.52
3,6,33.1281,8,1,0,2,2,1,1,220,37
2.5,4,32.8,4,1,0,2,2,1,0,221,39.260000000000005
2.5,4,37.6,5,0,0,2,2,1,0,222,39.260000000000005
2.5,4,37.0378,4,1,0,2,2,1,0,223,39.260000000000005
2.5,4,40.1077,1,1,0,2,2,0,1,224,39.260000000000005
2.5,4,37.137,6,0,0,2,2,0,1,225,39.260000000000005
3.6,6,34.2596,5,1,0,2,2,1,0,226,34.288000000000004
3.6,6,29.5,5,1,0,2,2,1,0,227,34.288000000000004
3,6,33.2,8,1,0,2,2,1,0,228,37
1.8,4,49.1,6,0,0,2,2,1,0,229,42.42400000000001
1.8,4,50.8,6,0,0,2,2,1,0,230,42.42400000000001
4.6,8,21.9,4,1,0,1,1,0,0,231,29.768000000000004
4.6,8,24.3,4,1,0,1,1,0,0,232,29.768000000000004
2,4,48.7,6,1,0,2,2,1,0,233,41.52
2,4,46.2,6,0,0,2,2,1,0,234,41.52
2.4,4,43.4319,6,1,0,2,2,1,0,235,39.712
2.4,4,44.8,6,0,0,2,2,1,0,236,39.712
2.4,4,59.9,6,0,0,2,2,1,0,237,39.712
2,4,51.7876,6,1,0,2,2,1,0,238,41.52
3.5,6,34.0288,1,0,0,2,2,1,0,239,34.74
2,4,39.4447,6,1,0,2,2,1,0,240,41.52
2,4,46.9,6,0,0,2,2,1,0,241,41.52
2.8,6,30.3,6,1,0,2,2,1,0,242,37.904
3,6,31.3025,6,1,0,2,2,1,0,243,37
3,6,34.4,6,1,0,2,2,1,0,244,37
2.4,4,56.3,6,0,0,2,2,1,0,245,39.712
